file_path,file_type,layer,purpose_in_shadow_os,active_runtime,historical_reference,future_provider_or_n8n,proof_only,route_family,registered,registry_source,has_upstream_pointer,has_downstream_pointer,has_validator_binding,has_schema_or_contract,has_lineage,path_valid,status,gap
agents/common/workflow_sub_agent_base.py,.py,Agent,Agent,true,false,false,false,"[quality_gate, full_video_pipeline]",true,registries/component_contract_registry.yaml,true,true,true,true,true,true,ACTIVE_REGISTERED,
agents/durga/durga_agent.py,.py,Agent,Agent,true,false,false,false,"[trend_research, topic_discovery, script_generation]",true,registries/component_contract_registry.yaml,true,true,true,true,true,true,ACTIVE_REGISTERED,
agents/ganesha/ganesha_agent.py,.py,Agent,Agent,true,false,false,false,"[trend_research, topic_discovery, script_generation]",true,registries/component_contract_registry.yaml,true,true,true,true,true,true,ACTIVE_REGISTERED,
agents/garuda/garuda_agent.py,.py,Agent,Agent,true,false,false,false,"[trend_research, topic_discovery, script_generation]",true,registries/component_contract_registry.yaml,true,true,true,true,true,true,ACTIVE_REGISTERED,
agents/hanuman/hanuman_agent.py,.py,Agent,Agent,true,false,false,false,"[trend_research, topic_discovery, script_generation]",true,registries/component_contract_registry.yaml,true,true,true,true,true,true,ACTIVE_REGISTERED,
agents/indra/indra_agent.py,.py,Agent,Agent,true,false,false,false,"[trend_research, topic_discovery, script_generation]",true,registries/component_contract_registry.yaml,true,true,true,true,true,true,ACTIVE_REGISTERED,
agents/kama/kama_agent.py,.py,Agent,Agent,true,false,false,false,"[trend_research, topic_discovery, script_generation]",true,registries/component_contract_registry.yaml,true,true,true,true,true,true,ACTIVE_REGISTERED,
agents/krishna/krishna_agent.py,.py,Agent,Agent,true,false,false,false,"[trend_research, topic_discovery, script_generation]",true,registries/component_contract_registry.yaml,true,true,true,true,true,true,ACTIVE_REGISTERED,
agents/kubera/kubera_agent.py,.py,Agent,Agent,true,false,false,false,"[trend_research, topic_discovery, script_generation]",true,registries/component_contract_registry.yaml,true,true,true,true,true,true,ACTIVE_REGISTERED,
agents/narada/narada_agent.py,.py,Agent,Agent,true,false,false,false,"[quality_gate, full_video_pipeline]",true,registries/component_contract_registry.yaml,true,true,true,true,true,true,ACTIVE_REGISTERED,
agents/nataraja/nataraja_agent.py,.py,Agent,Agent,true,false,false,false,"[trend_research, topic_discovery, script_generation]",true,registries/component_contract_registry.yaml,true,true,true,true,true,true,ACTIVE_REGISTERED,
agents/parashara/parashara_agent.py,.py,Agent,Agent,true,false,false,false,"[trend_research, topic_discovery, script_generation]",true,registries/component_contract_registry.yaml,true,true,true,true,true,true,ACTIVE_REGISTERED,
